,Documentary
0,documentary film synonym
1,objective synonym
2,film synonym
3,docudrama synonym
4,documental synonym
5,factual synonym
6,infotainment synonym
7,documented synonym
8,written synonym
9,cartoon synonym
10,broadcast synonym
11,recorded synonym
12,short synonym
13,yardage synonym
14,documentation file synonym
15,movie synonym
16,briefle synonym
17,document synonym
18,feature synonym
19,feature short synonym
20,featurette synonym
21,historical synonym
22,indie film synonym
23,movie short synonym
24,one-reel synonym
25,one-reeler synonym
26,program synonym
27,reel synonym
28,runner synonym
29,short program synonym
30,short short films synonym
31,short shorts synonym
32,short subject synonym
33,short-length film synonym
34,shortie synonym
35,documentation synonym
36,filmlet synonym
37,mini movie synonym
38,nonfictional synonym
39,brief film synonym
40,factual film synonym
41,factual program synonym
42,newsreel synonym
43,travelogue synonym
44,documentaries synonym
45,writing synonym
46,account synonym
