,Education
0,learning synonym
1,training synonym
2,schooling synonym
3,instruction synonym
4,teaching synonym
5,school synonym
6,knowledge synonym
7,tuition synonym
8,study synonym
9,enlightenment synonym
10,scholarship synonym
11,erudition synonym
12,awareness synonym
13,culture synonym
14,edification synonym
15,pedagogy synonym
16,cultivation synonym
17,tutelage synonym
18,literacy synonym
19,science synonym
20,extension synonym
21,guidance synonym
22,upbringing synonym
23,college synonym
24,awareness-raising synonym
25,breeding synonym
26,coaching synonym
27,information synonym
28,tutoring synonym
29,wisdom synonym
30,development synonym
31,progress synonym
32,didactics synonym
33,research synonym
34,academy synonym
35,pedagogics synonym
36,studies synonym
37,class synonym
38,formation synonym
39,letters synonym
40,understanding synonym
41,lesson synonym
42,refinement synonym
43,indoctrination synonym
44,book learning synonym
45,cultures synonym
46,department of education synonym
