,Family
0,household synonym
1,lineage synonym
2,house synonym
3,home synonym
4,descent synonym
5,clan synonym
6,line synonym
7,parentage synonym
8,ancestry synonym
9,relatives synonym
10,families synonym
11,class synonym
12,blood synonym
13,extraction synonym
14,domestic synonym
15,offspring synonym
16,stock synonym
17,genealogy synonym
18,people synonym
19,progeny synonym
20,pedigree synonym
21,birth synonym
22,species synonym
23,bloodline synonym
24,category synonym
25,tribe synonym
26,folk synonym
27,kindred synonym
28,kind synonym
29,relations synonym
30,brood synonym
31,dynasty synonym
32,kinsfolk synonym
33,next of kin synonym
34,children synonym
35,kinfolk synonym
36,relative synonym
37,descendants synonym
38,order synonym
39,issue synonym
40,origin synonym
41,genus synonym
42,strain synonym
43,kin synonym
44,roots synonym
45,familial synonym
46,group synonym
