,Movies
0,cinema synonym
1,film synonym
2,movie synonym
3,pictures synonym
4,see a movie synonym
5,movie theater synonym
6,films synonym
7,theater synonym
8,movie theatre synonym
9,at the movies synonym
10,in the movies synonym
11,picture show synonym
12,theatre synonym
13,at the cinema synonym
14,motion picture synonym
15,in the cinema synonym
16,in movies synonym
17,cinemas synonym
18,filmmaking synonym
19,screen synonym
20,film industry synonym
21,in a movie synonym
22,in film synonym
23,flick synonym
24,in the theater synonym
25,picture synonym
26,watch a movie synonym
27,motion pictures synonym
28,moving picture synonym
29,flicks synonym
30,in a movie theater synonym
31,in cinema synonym
32,multiplex synonym
33,at the theatre synonym
34,in a theater synonym
35,kino synonym
36,movie theaters synonym
37,moving-picture show synonym
38,picture house synonym
39,theatrical synonym
40,video synonym
41,at the movie theater synonym
42,at the theater synonym
43,cine synonym
44,cinema hall synonym
45,drive-in synonym
46,feature synonym
47,for a movie synonym
48,in the movie synonym
49,movie business synonym
