,Sci-Fi
0,science fiction synonym
1,science-fiction synonym
2,fantasy synonym
3,fiction synonym
4,scifi synonym
5,fan fiction synonym
6,fictions synonym
7,space fiction synonym
8,space opera synonym
9,allegory synonym
10,apologue synonym
11,drama synonym
12,fable synonym
13,fabliau synonym
14,fairy tale synonym
15,fictional synonym
16,folktale synonym
17,gest synonym
18,horse opera synonym
19,legend synonym
20,mystery synonym
21,myth synonym
22,mythos synonym
23,nursery tale synonym
24,parable synonym
25,romance synonym
26,saint synonym
27,shocker synonym
28,suspense story synonym
29,thriller synonym
30,whodunit synonym
31,work of fiction synonym
32,asimov genre synonym
33,detective fiction synonym
34,fabrications synonym
35,false synonym
36,fanfic synonym
37,fanfiction synonym
38,fictitious synonym
39,figments synonym
40,fuss synonym
41,futurism synonym
42,histories synonym
43,karel capek genre synonym
44,nonfiction synonym
45,pretence synonym
46,pretense synonym
