,Shorts
0,pants synonym
1,drawers synonym
2,trunks synonym
3,boxers synonym
4,panties synonym
5,slacks synonym
6,short pants synonym
7,trousers synonym
8,knickers synonym
9,trouser synonym
10,boxer shorts synonym
11,breeches synonym
12,jeans synonym
13,underwear synonym
14,pair of pants synonym
15,pant synonym
16,underpants synonym
17,underdrawers synonym
18,bloomers synonym
19,britches synonym
20,sweatpants synonym
21,bermuda shorts synonym
22,bermudas synonym
23,briefs synonym
24,hot pants synonym
25,pair of trousers synonym
26,board shorts synonym
27,knee pants synonym
28,short trousers synonym
29,your pants synonym
30,panty synonym
31,short synonym
32,your trousers synonym
33,trousers off synonym
34,pair of underpants synonym
35,pant leg synonym
36,apron strings synonym
37,bermuda synonym
38,cargo shorts synonym
39,dungarees synonym
40,his pants synonym
41,knickerbockers synonym
42,my trousers synonym
43,pair of shorts synonym
44,pair of underwear synonym
45,smalls synonym
46,their pants synonym
